company,ticker,cik,filing_date,event_type,person_name,title,effective_date,earnings_filing_date,earnings_period,revenue_reported,eps_diluted,net_income,days_to_nearest_earnings,event_timing
NVIDIA Corporation,NVDA,0001045810,2026-04-27,appointment,Scott Gawel,CAO,NOT_FOUND,2026-05-20,First Quarter Fiscal 2027,81.6 billion,0.01,NOT_FOUND,23,before earnings
NVIDIA Corporation,NVDA,0001045810,2026-03-06,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2026-02-25,"fourth quarter ended January 25, 2026",68.1 billion,1.76,NOT_FOUND,9,after earnings
NVIDIA Corporation,NVDA,0001045810,2026-01-23,both,Persis Drell,NOT_FOUND,2026-01-20,2026-02-25,"fourth quarter ended January 25, 2026",68.1 billion,1.76,NOT_FOUND,33,before earnings
JPMorgan Chase & Co.,JPM,0000019617,2026-06-25,both,Doug Petno,President,2026-06-24,2026-07-14,SECOND QUARTER 2026,57.3 billion,7.70,21.2 billion,19,before earnings
JPMorgan Chase & Co.,JPM,0000019617,2026-06-25,appointment,Troy Rohrbaugh,President,2026-06-24,2026-07-14,SECOND QUARTER 2026,57.3 billion,7.70,21.2 billion,19,before earnings
JPMorgan Chase & Co.,JPM,0000019617,2026-06-25,departure,Marianne Lake,CEO,NOT_FOUND,2026-07-14,SECOND QUARTER 2026,57.3 billion,7.70,21.2 billion,19,before earnings
JPMorgan Chase & Co.,JPM,0000019617,2026-01-22,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,2026-01-13,FOURTH QUARTER 2025,45.8 billion,4.63,13.0 billion,9,after earnings
JPMorgan Chase & Co.,JPM,0000019617,2025-12-08,departure,Todd A. Combs,Director,2025-12-07,2026-01-13,FOURTH QUARTER 2025,45.8 billion,4.63,13.0 billion,36,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,both,David Guggina,"Executive Vice President, President and Chief Executive Officer, Walmart",2026-02-01,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,appointment,John Furner,President and Chief Executive Officer,NOT_FOUND,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,departure,Kathryn McLay,"Executive Vice President, President and Chief Executive Officer, Walmart",NOT_FOUND,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,appointment,Christopher Nicholas,"Executive Vice President, President and Chief Executive Officer, Walmart",NOT_FOUND,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,both,Latriece Watkins,"Executive Vice President, President and Chief Executive Officer, Sam",NOT_FOUND,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-16,departure,Non-Competition Agreements,NOT_FOUND,NOT_FOUND,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,34,before earnings
Walmart Inc.,WMT,0000104169,2026-01-08,appointment,Shishir Mehrotra,Director,2026-01-08,2026-02-19,Q4 FY26,190.7 billion,0.53,NOT_FOUND,42,before earnings
Walmart Inc.,WMT,0000104169,2025-11-14,both,Douglas McMillon,NOT_FOUND,2026-01-31,2025-11-20,Q3 FY26,179.5 billion,0.77,NOT_FOUND,6,same week
Walmart Inc.,WMT,0000104169,2025-11-14,both,John R. Furner,Director,2026-02-01,2025-11-20,Q3 FY26,179.5 billion,0.77,NOT_FOUND,6,same week
Walmart Inc.,WMT,0000104169,2025-10-22,both,Dwayne Milum,Senior Vice President and Controller of Walmart Inc,2026-02-01,2025-11-20,Q3 FY26,179.5 billion,0.77,NOT_FOUND,29,before earnings
Walmart Inc.,WMT,0000104169,2025-10-22,departure,Covenant Not,NOT_FOUND,NOT_FOUND,2025-11-20,Q3 FY26,179.5 billion,0.77,NOT_FOUND,29,before earnings
